a0to1,b1to2,c2to5,d5to15,d15to100
468.5499103,937.6759975,1213.384063,586.6103392,199.2462689
562.0157314,1124.7227,1455.428482,703.6266009,238.9914681
1403.830829,2809.389206,3635.440852,1757.552567,596.9630604
1672.379918,3346.81798,4330.890884,2093.767561,711.1602817
4555.785302,9117.178347,11797.92186,5703.700213,1937.293217
2609.234447,5221.680349,6757.022787,3266.679901,1109.546232
3089.325202,6182.45287,8000.293175,3867.738393,1313.698964
2793.021624,5589.480951,7232.968536,3496.775653,1187.699485
3800.342747,7605.363254,9841.584748,4757.909947,1616.050494
4525.61129,9056.793178,11719.78152,5665.923301,1924.462087
3906.166289,7817.140611,10115.63142,4890.397685,1661.050663
3115.337661,6234.509811,8067.656523,3900.305171,1324.760445
3259.17359,6522.358737,8440.142245,4080.383221,1385.924917
2510.643869,5024.377823,6501.707004,3143.247605,1067.621793
1909.647212,3821.644655,4945.331796,2390.818735,812.0553017
3549.261446,7102.891561,9191.370297,4443.564073,1509.281237
3121.319767,6246.481387,8083.148126,3907.79458,1327.304262
2299.457163,4601.74443,5954.805869,2878.848506,977.817224
2442.313765,4887.633497,6324.755471,3057.700469,1038.56525
1616.007582,3234.003911,4184.905869,2023.191174,687.1886342
1902.310716,3806.962632,4926.332789,2381.633674,808.9355466
1948.927032,3900.252649,5047.053057,2439.995831,828.7585655
2863.031974,5729.587839,7414.271333,3584.426405,1217.470532
1895.558094,3793.449074,4908.845813,2373.179603,806.0640763
2010.044511,4022.562846,5205.326365,2516.512988,854.7480273
986.9910147,1975.19643,2555.968705,1235.68226,419.7070188
1421.266782,2844.282577,3680.59399,1779.381831,604.3774865
339.3734764,679.1641078,878.8614052,424.8855158,144.3155675
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
1273.67376,2548.914839,3298.378686,1594.60002,541.6153559
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
1259.226824,2520.003183,3260.966078,1576.512912,535.471973
519.309414,1039.257492,1344.833768,650.1596378,220.8311281
731.1327347,1463.164897,1893.383516,915.3557582,310.906409
714.0502088,1428.978816,1849.145633,893.9689743,303.6422735
1038.618202,2078.51436,2689.665412,1300.317871,441.6608498
778.9638071,1558.885924,2017.249588,975.2387531,331.2459886
727.7162295,1456.327681,1884.535939,911.0784014,309.4535819
437.3132915,875.1643062,1132.491934,547.503077,185.9632781
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
294.9589088,590.2802962,763.8429086,369.2798771,125.4288149
289.2647335,578.8849358,749.0969476,362.1509491,123.0074363
44.61616631,89.28662834,115.54107,55.85865479,18.97362011
135.6846912,271.5357874,351.377314,169.8735773,57.69939843
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
83.06859724,166.2388268,215.1196775,103.9998862,35.32504689
302.869196,606.1106086,784.3278394,379.1833074,128.7925679
151.1601502,302.5057565,391.4534451,189.2483642,64.28014845
69.06485682,138.2141068,178.8547929,86.46764464,29.37012725
851.5889498,1704.225614,2205.323798,1066.163143,362.1289438
487.3251127,975.2495154,1262.005398,610.1163007,207.2301945
529.0876901,1058.826082,1370.156149,662.4017312,224.9892206
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
681.5094006,1363.857141,1764.876101,853.2289082,289.8046921
99.69536952,199.5128397,258.1773149,124.816081,42.39537881
1678.50953,3359.08475,4346.764477,2101.441643,713.7668245
1412.856927,2827.452515,3658.815352,1768.852958,600.8012987
1234.258081,2470.03496,3196.305598,1545.252833,524.8543199
2148.982391,4300.609646,5565.127822,2690.458835,913.8296647
2915.499734,5834.587948,7550.144834,3650.114386,1239.781806
2901.059164,5805.689031,7512.74871,3632.035248,1233.64113
2959.338745,5922.319937,7663.672835,3704.999446,1258.42381
2853.465761,5710.443636,7389.498122,3572.449808,1213.402617
2623.876613,5250.982704,6794.940973,3285.011431,1115.772634
3697.891424,7400.334486,9576.27096,4629.644119,1572.48432
1051.564962,2104.423817,2723.19308,1316.526806,447.1663013
1894.075608,3790.482278,4905.006683,2371.323578,805.4336674
1860.287703,3722.864873,4817.507598,2329.022186,791.0657732
1277.318034,2556.207875,3307.816107,1599.162537,543.1650392
1647.610255,3297.248161,4266.745952,2062.756724,700.627285
542.9479389,1086.563642,1406.04944,679.7543258,230.8831222
414.7745563,830.0590897,1074.124341,519.2852911,176.3789561
317.0138136,634.4172564,820.9575476,396.8919228,134.8073939
337.9240501,676.2634709,875.1078882,423.0708797,143.6992166
26.20324627,52.43812115,67.85792253,32.80625931,11.14375067
773.8390513,1548.630104,2003.978228,968.8227204,329.0667487
363.8584301,728.1641572,942.2690372,455.539906,154.7274951
308.3402209,617.0593934,798.4959173,386.032858,131.1190545
2248.06102,4498.888873,5821.707487,2814.502155,955.9616417
2138.732855,4280.097955,5538.585038,2677.626738,909.4711744
1014.702664,2030.653843,2627.732372,1270.376371,431.4910593
1694.587185,3391.259852,4388.400088,2121.57036,720.6036508
1735.585246,3473.306446,4494.571007,2172.898641,738.0375761
1701.420195,3404.934284,4406.095241,2130.125073,723.5093051
1359.769679,2721.212667,3521.337588,1702.389397,578.2265946
755.0482709,1511.025411,1955.316552,945.2972557,321.0761988
792.6298278,1586.234789,2052.639894,992.3481803,337.057297
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
576.2511679,1153.211098,1492.29338,721.4489187,245.0449137
209.5462793,419.3498906,542.6534938,262.3459574,89.108137
524.4341731,1049.513319,1358.105136,656.5756746,223.0103693
71.41660737,142.920503,184.9450202,89.41196221,30.37018046
64.83089714,129.7409752,167.8902895,81.16686059,27.56968759
64.17733327,128.4330429,166.1977832,80.34861923,27.29176754
352.2112537,704.8554663,912.1068453,440.9580083,149.7746756
449.4608661,899.4744095,1163.949986,562.7114575,191.1288859
644.9316843,1290.656679,1670.152361,807.4347603,274.2504648
625.4686503,1251.706651,1619.749779,783.0676553,265.9740472
267.3213266,534.9711088,692.2710502,334.6784954,113.6762705
900.0730293,1801.253459,2330.880934,1126.863682,382.7462067
327.4186589,655.2397558,847.9025282,409.9184611,139.2319273
738.5869314,1478.082467,1912.687329,924.6881776,314.0762152
1068.658827,2138.632592,2767.460329,1337.927787,454.4352591
736.3579815,1473.621823,1906.915113,921.8976025,313.1283814
689.8375886,1380.523769,1786.443251,863.655537,293.3461523
1452.559993,2906.907523,3761.632675,1818.559945,617.6845427
1225.893304,2453.295109,3174.643695,1534.780396,521.2973007
1546.538643,3094.980515,4005.005145,1936.218253,657.6478162
2539.602818,5082.33137,6576.700749,3179.503296,1079.936232
3138.423,6280.708908,8127.439633,3929.207288,1334.577203
1942.397711,3887.18597,5030.144356,2431.821327,825.9820516
2116.525592,4235.656091,5481.075844,2649.823945,900.027807
2400.66494,4804.284576,6216.8993,3005.557453,1020.854596
1970.528497,3943.482173,5102.993443,2467.040185,837.944325
2956.985868,5917.611287,7657.579692,3702.053719,1257.423278
3570.248549,7144.891603,9245.719695,4469.839264,1518.205746
856.7187565,1714.491543,2218.608238,1072.585499,364.3103315
3338.495613,6681.100433,8645.559079,4179.691894,1419.655639
2972.360141,5948.37876,7697.393786,3721.301824,1263.961
822.6950773,1646.4023,2130.498578,1029.988925,349.8421773
540.8596801,1082.384554,1400.641566,677.1398916,229.9951156
815.2313274,1631.465612,2111.170026,1020.644545,346.6683088
369.8373146,740.1292865,957.7522974,463.0252809,157.2699427
575.4919458,1151.691719,1490.327255,720.4983966,244.7220638
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
1079.616265,2160.560956,2795.836334,1351.646153,459.0947755
977.1211095,1955.444469,2530.409036,1223.325449,415.5099621
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
403.1482392,806.7921429,1044.016167,504.7295085,171.4350067
741.3822502,1483.676546,1919.926245,928.1878285,315.2648903
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
205.8450653,411.9429063,533.068619,257.7121541,87.53424095
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
52.6648055,105.3938149,136.3842849,65.93529735,22.39620566
92.77188423,185.657346,240.2478626,116.1480957,39.45125121
351.5210506,703.4742104,910.319456,440.0938958,149.4811751
146.4907803,293.1612684,379.3613785,183.4024602,62.29455589
112.2435746,224.6246973,290.6728623,140.5260383,47.73134983
222.0734652,444.4196839,575.0946086,278.0295993,94.43516987
446.7589241,894.0671993,1156.952883,559.3287113,189.979918
348.2831863,696.9944958,901.9344979,436.0401917,148.1043128
252.7152461,505.7409671,654.4463114,316.3921431,107.4652131
150.5948174,301.374395,389.9894271,188.5405854,64.03974759
137.230253,274.6288138,355.3797892,171.808572,58.35662975
568.658936,1138.017287,1472.632104,711.9436837,241.8164098
1007.466469,2016.172544,2608.993107,1261.316882,428.4139555
792.4611154,1585.897157,2052.202987,992.1369577,336.9855541
1673.112026,3348.283098,4332.786793,2094.684138,711.4716018
1888.714778,3779.754019,4891.123973,2364.611988,803.1540399
2754.463033,5512.316303,7133.115012,3448.501513,1171.302915
1972.749907,3947.927728,5108.746134,2469.82132,838.8889525
698.5754535,1398.010255,1809.071324,874.5950685,297.0618227
3270.663751,6545.353205,8469.897822,4094.76854,1390.810968
3104.421208,6212.663466,8039.386653,3886.638116,1320.118356
2376.837007,4756.599375,6155.193124,2975.725631,1010.722058
2334.390295,4671.653698,6045.2707,2922.583686,992.672112
3113.901071,6231.634862,8063.936247,3898.506606,1324.149552
2505.437766,5013.959208,6488.224983,3136.729728,1065.407961
2197.076272,4396.856613,5689.674478,2750.670858,934.2810003
1930.723327,3863.822831,4999.911707,2417.205367,821.0176625
2198.10938,4398.9241,5692.349872,2751.964276,934.7203167
2556.522653,5116.191869,6620.517319,3200.686396,1087.131185
1258.346382,2518.241215,3258.686034,1575.410626,535.0975756
929.290039,1859.723446,2406.542969,1163.442457,395.1703834
709.1951785,1419.262779,1836.57277,887.8906294,301.5777311
193.4602342,387.1579978,500.9961543,242.206736,82.26774272
1895.022169,3792.376566,4907.457953,2372.508643,805.836181
958.3303322,1917.839782,2481.747367,1199.799989,407.5194135
77.1475193,154.3893819,199.7861164,96.58688329,32.80718079
1188.944428,2379.35187,3078.958777,1488.521567,505.585242
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
74.11250972,148.3156265,191.9264826,92.78714697,31.51658002
1496.429897,2994.701336,3875.240679,1873.483682,636.3396836
942.9560585,1887.072309,2441.933272,1180.551883,400.9816913
437.313291,875.1643052,1132.491933,547.5030764,185.9632779
368.9831874,738.4199806,955.540401,461.9559406,156.9067356
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
332.5404658,665.4896748,861.1662513,416.3308019,141.4099131
562.2597668,1125.211071,1456.06045,703.9321256,239.0952412
155.2963182,310.7831843,402.1647016,194.4267162,66.0390034
42.87441856,85.80098868,111.0305408,53.67804152,18.23296315
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
33.58824235,67.21720457,86.98252942,42.05204162,14.28413009
22.87425136,45.77603318,59.2369675,28.63846262,9.728136228
19.88774772,39.7993494,51.50294742,24.89945421,8.45816202
59.97927461,120.0317576,155.3262512,75.09278212,25.50659435
34.87680763,69.79592141,90.31947153,43.66528473,14.83207674
96.95868901,194.0361097,251.090251,121.3898433,41.23163883
64.185588,128.4495626,166.2191602,80.35895389,27.29527776
55.11856407,110.3043528,142.738678,69.00732574,23.43963653
213.363783,426.9895974,552.5395189,267.1253517,90.73148383
673.4739409,1347.776329,1744.067016,843.1687659,286.3877109
362.3705976,725.1866607,938.4160614,453.6771866,154.0948125
201.7962851,403.8403615,522.5836669,252.6432089,85.81254657
48.02417977,96.10685068,124.366656,60.12538022,20.42283622
163.4672608,327.1351283,423.3246404,204.6564787,69.51359698
161.8350843,323.8687659,419.0978629,202.6130451,68.81953382
309.9181834,620.2172609,802.582299,388.0084174,131.7900637
831.1431629,1663.308871,2152.376222,1040.565662,353.4346226
1033.125001,2067.521195,2675.439905,1293.440556,439.3249331
755.358866,1511.646983,1956.120886,945.6861109,321.2082756
1252.305075,2506.151164,3243.041122,1567.8471,532.5285837
1224.708701,2450.924443,3171.575977,1533.297309,520.7935623
1662.69982,3327.445867,4305.82275,2081.648384,707.0439382
2071.902701,4146.355377,5365.517862,2593.957493,881.0524676
2216.512888,4435.753771,5740.008645,2775.004888,942.5461838
3460.05178,6924.362408,8960.34786,4331.876383,1471.345915
1938.37925,3879.144102,5019.737921,2426.790341,824.2732502
2229.918221,4462.580941,5774.723862,2791.787943,948.2466382
3090.623783,6185.051631,8003.656056,3869.364175,1314.25117
2901.101605,5805.773965,7512.858618,3632.088383,1233.659178
1709.619824,3421.343637,4427.329469,2140.39075,726.9960972
3330.077468,6664.25378,8623.758971,4169.152641,1416.075926
2728.999849,5461.358588,7067.174098,3416.622409,1160.475007
1693.148673,3388.381057,4384.674836,2119.769388,719.9919412
1888.948385,3780.22152,4891.728934,2364.904456,803.2533783
1483.990317,2969.806863,3843.026434,1857.90972,631.0499042
197.2345491,394.7112738,510.7703352,246.9320592,83.87272404
1454.672613,2911.135364,3767.103637,1821.204879,618.5829086
484.0055289,968.6062611,1253.408814,605.9602864,205.818582
897.4026545,1795.909422,2323.96558,1123.520457,381.6106624
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
203.7485736,407.7473419,527.6394245,255.0874126,86.64273343
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
717.4667152,1435.816035,1857.993212,898.2463326,305.0951011
1147.946366,2297.305275,2972.787858,1437.193285,488.1513166
1014.702664,2030.653843,2627.732372,1270.376371,431.4910593
980.5376122,1962.281681,2539.256606,1227.602803,416.9627881
434.5800871,869.6945327,1125.413872,544.0811913,184.8010163
524.4341731,1049.513319,1358.105136,656.5756746,223.0103693
264.2103623,528.7453504,684.2147195,330.7836661,112.3533709
43.12700493,86.30647237,111.6846528,53.99427169,18.34037242
56.54043931,113.1498537,146.4208472,70.78746872,24.04427162
42.72571483,85.50339815,110.6454491,53.49186913,18.1697287
38.18202946,76.41043394,98.87886242,47.80331828,16.23758197
55.46497346,110.997598,143.6357595,69.44101937,23.5869429
41.30103582,82.6522863,106.9560191,51.70821592,17.56390135
33.86510755,67.7712758,87.69951532,42.39866812,14.40186363
50.60679294,101.2752563,131.0547383,63.35873051,21.52106095
44.63826621,89.33085534,115.5983012,55.88632317,18.98301782
65.76229521,131.604918,170.302291,82.33294162,27.96575325
51.48880475,103.0403657,133.3388464,64.46298148,21.8961257
230.1187839,460.5202254,595.9292245,288.1020846,97.8563434
608.3825876,1217.513492,1575.502736,761.6764433,258.7084076
619.0041582,1238.769709,1603.008961,774.9743149,263.2251008
621.6925557,1244.149814,1609.970989,778.3401038,264.3683091
1053.423061,2108.142304,2728.00492,1318.853088,447.9564354
1341.898743,2685.448793,3475.057992,1680.015548,570.627197
2316.391146,4635.633242,5998.659077,2900.049319,985.0181936
2576.949909,5157.071528,6673.416906,3226.260677,1095.817626
3708.047592,7420.659326,9602.571954,4642.359323,1576.803107
4102.003179,8209.055475,10622.7818,5135.579298,1744.32791
3791.219289,7587.105106,9817.95812,4746.487664,1612.170855
2957.681823,5919.004054,7659.381977,3702.925032,1257.719225
2767.680422,5538.767352,7167.343516,3465.049267,1176.923448
3593.947165,7192.318009,9307.090982,4499.509184,1528.283293
2900.074085,5803.717659,7510.197693,3630.80196,1233.222237
1705.099525,3412.297474,4415.623445,2134.731479,725.0738953
1482.579204,2966.982899,3839.372134,1856.14305,630.4498454
1038.618205,2078.514366,2689.665421,1300.317875,441.6608512
1417.660475,2837.065524,3671.254893,1774.866849,602.8439487
1699.656854,3401.405432,4401.528794,2127.917426,722.7594659
2336.890176,4676.656538,6051.744534,2925.713458,993.7351559
1876.800811,3755.911417,4860.270883,2349.696076,798.0877706
1323.822116,2649.273287,3428.245729,1657.384181,562.9403322
587.6395203,1176.001822,1521.785307,735.7067769,249.8876715
1544.260966,3090.422356,3999.106741,1933.366672,656.6792615
732.8409891,1466.583509,1897.807309,917.4944389,311.6328233
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
785.7968187,1572.560359,2034.944744,983.7934683,334.1516434
1001.036643,2003.304978,2592.342065,1253.266944,425.6797508
1052.284221,2105.863221,2725.055714,1317.427296,447.4721575
1004.453148,2010.142194,2601.189642,1257.544301,427.1325779
1469.097844,2940.003584,3804.460037,1839.264814,624.717062
1995.239638,3992.934875,5166.986823,2497.977755,848.452436
966.8715915,1934.932816,2503.8663,1210.493376,411.1514797
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
936.123045,1873.39787,2424.23811,1171.997165,398.0760357
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
337.095806,674.6059631,872.9630201,422.0339442,143.347016
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
824.5172107,1650.04881,2135.217279,1032.270179,350.6170173
435.0356216,870.6061625,1126.59355,544.6515062,184.9947268
174.7304647,349.6754015,452.4924753,218.7576549,74.3031369
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
236.2370353,472.76426,611.7733971,295.7619425,100.4580551
205.5544865,411.3613909,532.3161196,257.3483586,87.41067586
152.925325,306.0382791,396.0246424,191.4583074,65.03076748
246.6989247,493.7009179,638.8661025,308.8598983,104.9068459
109.7696334,219.6737692,284.2662029,137.4287418,46.67933651
130.658004,261.4762249,338.3599183,163.5803233,55.56186107
296.3374991,593.0391739,767.4129846,371.0058287,126.0150435
297.1933325,594.7518943,769.6292996,372.0773051,126.3789763
389.7352939,779.9497404,1009.281239,487.9369238,165.7313155
438.5556576,877.6505678,1135.709236,549.0584802,186.4915791
682.2504333,1365.340118,1766.795121,854.1566577,290.1198072
232.3056381,464.896626,601.5924269,290.8399572,98.78627647
1031.785195,2064.839934,2671.970268,1291.763161,438.755197
1965.441568,3933.302052,5089.820041,2460.671509,835.7811703
2052.344102,4107.214101,5314.867798,2569.470743,872.735412
1585.370141,3172.691314,4105.565406,1984.834064,674.1604366
2025.747606,4053.988367,5245.991995,2536.172768,861.4255767
2378.672355,4760.272332,6159.946047,2978.02343,1011.502517
3160.951228,6325.793098,8185.780017,3957.41192,1344.157057
2893.780523,5791.122788,7493.899526,3622.922618,1230.545977
2537.532209,5078.187603,6571.338581,3176.910959,1079.055731
2502.687372,5008.455034,6481.102406,3133.286322,1064.238389
2978.598976,5960.86411,7713.550229,3729.112649,1266.613989
1362.698126,2727.073164,3528.92126,1706.05572,579.4718807
1126.412035,2254.210105,2917.021329,1410.232983,478.9941056
983.954122,1969.118906,2548.104194,1231.880166,418.4156172
1721.919243,3445.957615,4459.180744,2155.789235,732.2262748
722.1419348,1445.172229,1870.100428,904.0995602,307.0831811
864.8645125,1730.793082,2239.702952,1082.783729,367.7742148
691.8429269,1384.536914,1791.63639,866.1661574,294.198898
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
70.41034356,140.9067366,182.339142,88.15215164,29.94227906
92.6258797,185.3651572,239.869761,115.9653026,39.38916457
44.60500125,89.26428448,115.5121564,55.84467649,18.96887231
59.07310476,118.2183024,152.9795821,73.95828603,25.12125668
78.17026665,156.4361356,202.4346813,97.86733074,33.24209161
65.82529458,131.7309943,170.4654378,82.41181484,27.99254296
48.57711991,97.21341166,125.7985813,60.81764385,20.65796727
30.87809939,61.79358233,79.96418868,38.65902806,13.13167488
125.6074364,251.3688723,325.2806805,157.2571719,53.41416886
37.40503292,74.85548434,96.86670787,46.8305431,15.90717368
129.1520329,258.4624289,334.4599698,161.694895,54.92146526
51.85256953,103.7683431,134.2808724,64.91840352,22.05081223
126.3808154,252.9165825,327.283467,158.2254181,53.74303887
274.4718659,549.2809899,710.7884943,343.6307452,116.71695
172.9379088,346.088083,447.8503703,216.5134314,73.54087439
588.5820046,1177.887951,1524.226018,736.8867376,250.2884515
524.66746,1049.98018,1358.709269,656.8677424,223.1095717
600.1956105,1201.12946,1554.301274,751.4266061,255.2269956
1028.760748,2058.787316,2664.137987,1287.976649,437.4690877
1094.302141,2189.950786,2833.867714,1370.032407,465.3397649
1640.389005,3282.796773,4248.045394,2053.715948,697.5565369
1385.935123,2773.575764,3589.097112,1735.147708,589.35313
2394.660174,4792.26765,6201.349014,2998.039674,1018.301142
2814.664981,5632.794309,7289.017408,3523.872454,1196.903058
2595.582175,5194.358998,6721.668085,3249.587687,1103.74077
3441.261477,6886.758669,8911.687418,4308.351515,1463.355568
3732.776582,7470.147748,9666.611556,4673.319238,1587.318808
1619.704896,3241.403091,4194.480644,2027.820095,688.7608718
2571.243965,5145.652616,6658.640468,3219.117015,1093.391243
2736.427897,5476.223828,7086.410195,3425.922091,1163.633694
2134.043555,4270.713582,5526.441359,2671.755883,907.4771069
1551.453615,3104.81651,4017.733237,1942.371643,659.7378481
972.6142325,1946.425167,2518.73777,1217.682982,413.5934677
509.9000252,1020.427131,1320.466678,638.3793796,216.8299004
565.532722,1131.761011,1464.536281,708.0297623,240.4870254
189.0472483,378.3265933,489.5680343,236.6818167,80.39117433
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
403.1482396,806.7921436,1044.016168,504.7295089,171.4350069
170.8258872,341.8614399,442.3809589,213.8692471,72.64276302
127.2654462,254.686933,329.5743572,159.3329479,54.11921729
179.5224459,359.2652631,464.902063,224.7570644,76.34086841
327.9851254,656.3733862,849.3694822,410.6276593,139.4728103
110.1326775,220.4003045,285.2063627,137.8832616,46.8337166
342.7899813,686.0013235,887.7089811,429.1628722,145.7683945
438.6798933,877.8991921,1136.030964,549.2140194,186.5444088
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
115.7821926,231.7062895,299.8366692,144.9562765,49.23610393
126.4113199,252.9776289,327.3624631,158.2636087,53.75601052
83.28948417,166.6808726,215.6916988,104.2764297,35.41897636
51.83389239,103.7309659,134.232505,64.89502034,22.04287001
47.40079004,94.8593038,122.7522904,59.34491593,20.15774735
36.53491461,73.11417656,94.61339988,45.7411824,15.53716649
175.5882886,351.3921053,454.7139449,219.8316234,74.66791604
92.11542318,184.3436158,238.5478537,115.3262271,39.17209917
267.5751025,535.478973,692.9282427,334.9962149,113.7841856
155.2466237,310.6837342,402.0360099,194.3645002,66.01787142
106.8200559,213.7709832,276.6278089,133.7359638,45.4250647
442.9859799,886.5166663,1147.182251,554.6051041,188.3755196
275.3916522,551.121695,713.1704255,344.7822887,117.1080779
441.3982439,883.3392398,1143.07056,552.6173087,187.7003542
585.3782364,1171.47647,1515.929357,732.8757207,248.9260881
790.8664742,1582.705911,2048.073413,990.1405171,336.3074524
1326.133959,2653.899818,3434.232608,1660.278535,563.9234151
1499.910868,3001.667564,3884.2552,1877.841748,637.8199241
1856.816093,3715.91738,4808.517319,2324.675839,789.5895135
1960.175526,3922.763485,5076.182799,2454.078591,833.5418503
1722.341903,3446.803457,4460.275291,2156.318393,732.4060062
2258.496912,4519.773505,5848.732869,2827.567563,960.3993777
3067.730278,6139.236439,7944.36973,3840.702229,1304.515986
1626.257098,3254.515561,4211.4486,2036.023245,691.5471156
3522.455865,7049.247399,9121.953034,4410.00433,1497.88249
3952.33181,7909.528486,10235.18429,4948.195463,1680.681988
3803.759252,7612.200471,9850.432325,4762.187304,1617.503321
3859.892267,7724.535604,9995.797581,4832.464069,1641.373201
2959.809715,5923.262456,7664.892486,3705.589085,1258.624084
2451.545774,4906.108881,6348.663209,3069.258654,1042.491049
1755.486406,3513.133265,4546.108185,2197.814266,746.5003014
914.5860928,1830.297453,2368.464791,1145.03358,388.9177097
872.5358589,1746.145219,2259.569108,1092.388012,371.0363612
911.0686781,1823.258293,2359.355893,1140.629887,387.4219721
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
484.2902384,969.1760306,1254.146114,606.3167337,205.9396512
116.4246124,232.9919199,301.5003161,145.7605658,49.5092851
136.3012033,272.7695707,352.9738691,170.6454311,57.9615627
426.1320022,852.7879629,1103.53623,533.5044553,181.2085713
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
255.0996816,510.5127735,660.6211815,319.3773812,108.4791652
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
447.5628071,895.675955,1159.034664,560.3351475,190.3217595
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
134.8386993,269.8427623,349.1864854,168.8144222,57.33965073
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
103.1169663,206.3602455,267.0380771,129.0998124,43.85037108
138.0624786,276.2942895,357.5349681,172.8504922,58.71052352
64.2309255,128.5402934,166.3365687,80.41571501,27.31455698
296.0008221,592.3654055,766.5411069,370.5843198,125.8718758
231.1704248,462.6248018,598.6526138,289.4187059,98.30354086
40.77092322,81.59140849,105.5832093,51.04453165,17.33847743
0.000627969,0.000627969,0.002128283,0.00140715,0.00140715
76.81931732,153.7325739,198.9361859,96.17598476,32.6676169
121.6526163,243.4543635,315.0390529,152.3058618,51.73242991
